Name,City,State,Zip,Amount
Lafayette Senior High School,Lexington,KY,40503,150
Saint Charles East High School,Saint Charles,IL,60174,150
North Haven High School,North Haven,CT,06473,150
Shanley High School,Fargo,ND,58104,500
Hollidaysburg Area Senior High School,Hollidaysburg,PA,16648,150
Lapeer High School,Lapeer,MI,48446,150
Kolbe Academy and Trinity Preparatory,Napa,CA,94558,2700
Morgan Park Academy,Chicago,IL,60643,500
Buffalo Academy of the Sacred Heart,Buffalo,NY,14226,500
Sacred Heart Academy High School,Mt Pleasant,MI,48858,2700
Bremerton High School,Bremerton,WA,98337,150
York Community High School,Elmhurst,IL,60126,150
Land O' Lakes High School,Land O Lakes,FL,34638,150
Saint John's County Virtual School,St Augustine,FL,32084,150
Coventry High School,Coventry,CT,06238,150
Saratoga Central Catholic High School,Saratoga Spgs,NY,12866,2700
Noblesville High School,Noblesville,IN,46060,500
Ann Richards School for Young Women Leaders,Austin,TX,78704,150
Lake Mary Preparatory School,Lake Mary,FL,32746,150
A J Dimond High School,Anchorage,AK,99502,150
Kensington Woods High School,Howell,MI,48843,150
Magnificat High School,Rocky River,OH,44116,500
Bishop Rosecrans High School,Zanesville,OH,43701,2700
Shenendehowa High School,Clifton Park,NY,12065,150
Cardinal Wuerl North Catholic High School,Cranberry Twp,PA,16066,2700
Peninsula High School,Gig Harbor,WA,98332,150
Mount Saint Mary High School,Oklahoma City,OK,73109,2700
Osceola High School,Kissimmee,FL,34741,150
University Lake School,Hartland,WI,53029,500
Saint Vincent's Academy,Savannah,GA,31401,2700
Malvern Preparatory School,Malvern,PA,19355,500
Ithaca High School,Ithaca,NY,14850,150
Royal Palm Beach Community High School,Royal Plm Bch,FL,33411,150
Kihei High School,Kihei,HI,96753,150
Bishop Brady High School,Concord,NH,03301,2700
Towson High School,Towson,MD,21286,150
Saint Christopher's School,Richmond,VA,23226,2700
Morris Catholic High School,Denville,NJ,07834,2700
Chesterton Academy of Buffalo,Bowmansville,NY,14026,150
Regis High School,Eau Claire,WI,54701,2700
Regina Dominican High School,Wilmette,IL,60091,2700
Stranahan High School,Ft Lauderdale,FL,33312,150
Northwest Early College High School,El Paso,TX,79932,150
International Studies Preparatory Academy at Gables,Coral Gables,FL,33146,150
Saint Joseph Regional High School,Montvale,NJ,07645,2700
Rock School,Gainesville,FL,32607,500
Rockwall High School,Rockwall,TX,75087,150
Toms River High School South,Toms River,NJ,08753,150
Pinecrest Preparatory Academy Charter High School,Miami,FL,33185,500
The Culver Academies,Culver,IN,46511,500
Saint Joseph Catholic School: Secondary Campus,Bryan,TX,77803,2700
Xaverian Brothers High School,Westwood,MA,02090,150
Cambridge Christian School,Tampa,FL,33614,500
Saint Benedict at Auburndale,Cordova,TN,38016,2700
Father Tolton Catholic High School,Columbia,MO,65201,2700
Villa Joseph Marie High School,Holland,PA,18966,150
Webster Schroeder High School,Webster,NY,14580,150
Mcarthur High School,Hollywood,FL,33024,500
Newpoint High School of Tampa,Valrico,FL,33594,150
Ankeny Christian Academy,Ankeny,IA,50021,500
Donovan Catholic High School,Toms River,NJ,08753,2700
Saline High School,Saline,MI,48176,150
Bishop Hendricken High School,Warwick,RI,02889,2700
Louisville Classical Academy,Louisville,KY,40205,500
Deerfield Beach High School,Deerfield Bch,FL,33441,150
Carmel High School,Carmel,CA,93922,150
Keystone National High School,Bloomsburg,PA,17815,150
Lacey Township High School,Lanoka Harbor,NJ,08734,150
Palm Bay High School,Melbourne,FL,32901,150
St. Michael High School,Petoskey,MI,49770,2700
Beaches Chapel School,Neptune Beach,FL,32266,500
Lake Brantley High School,Altamonte Spg,FL,32714,150
Brashier Middle College Charter High School,Simpsonville,SC,29680,150
Brookfield Academy,Brookfield,WI,53045,500
International Studies Virtual Academy,Miami,FL,33135,150
Hilton Head Preparatory School,Hilton Head,SC,29928,150
Bishop McLaughlin Catholic High School,Spring Hill,FL,34610,2700
Pewaukee High School,Pewaukee,WI,53072,150
New Rochelle High School 1,New Rochelle,NY,10801,150
Western Reserve Academy,Hudson,OH,44236,500
Robert L Paschal High School,Fort Worth,TX,76110,150
Rome High School,Rome,GA,30161,150
James M Coughlin High School,Wilkes Barre,PA,18701,150
Our Lady of Lourdes High School,Poughkeepsie,NY,12603,150
Conant High School,Jaffrey,NH,03452,150
Northampton Area High School,Northampton,PA,18067,150
Delone Catholic High School,Mcsherrystown,PA,17344,2700
Sprayberry Senior High School,Marietta,GA,30066,150
Mount Michael Benedictine High School,Elkhorn,NE,68022,2700
John H Pitman High School,Turlock,CA,95382,150
Chillicothe High School,Chillicothe,OH,45601,150
South Terrebonne High School,Bourg,LA,70343,150
Saint Ignatius High School,Cleveland,OH,44113,2700
Columbine High School,Littleton,CO,80123,150
Toms River High School North,Toms River,NJ,08753,150
Galena High School,Galena,IL,61036,150
Gretna High School,Gretna,NE,68028,150
Episcopal School of Jacksonville,Jacksonville,FL,32207,500
South Sumter High School,Bushnell,FL,33513,150
Vanguard High School,Ocala,FL,34475,150
Indian Rocks Christian School,Largo,FL,33774,500
Highland School,Warrenton,VA,20186,150
Mountain Vista High School,Hghlnds Ranch,CO,80126,150
Archbishop Shaw High School,Marrero,LA,70072,2700
Father McGivney Catholic High School,Glen Carbon,IL,62034,150
Barrington Community High School,Barrington,IL,60010,150
Floyd E Kellam High School,Virginia Bch,VA,23456,150
Coral Springs Charter School,Coral Springs,FL,33065,150
Florida Atlantic University High School,Boca Raton,FL,33431,150
Bishop Canevin High School,Pittsburgh,PA,15205,2700
Prospect Mountain High School,Alton,NH,03809,150
Wilmot Union High School,Wilmot,WI,53192,150
Sydney C Huntington School,Galena,AK,99741,150
St Louis De Montfort Academy,Herndon,PA,17830,2700
Haslett High School,Haslett,MI,48840,150
Rancho Bernardo High School,San Diego,CA,92128,150
University of Detroit Jesuit High School,Detroit,MI,48221,2700
Portsmouth Christian Academy,Dover,NH,03820,500
Chaminade High School,Mineola,NY,11501,2700
Brooks-DeBartolo Collegiate High School,Tampa,FL,33612,150
Central Catholic Junior-Senior High School,Lafayette,IN,47909,2700
Bishop Amat Memorial High School,La Puente,CA,91746,2700
Carthage Central High School,Carthage,NY,13619,150
Benedictine Military School,Savannah,GA,31406,2700
The Geneva School,Winter Park,FL,32792,500
Marlington High School,Alliance,OH,44601,500
Central Dauphin High School,Harrisburg,PA,17112,150
Academy of Our Lady Good Counsel High School,White Plains,NY,10603,2700
Bullitt East High School,Mt Washington,KY,40047,150
Archbishop Curley-Notre Dame School,Miami,FL,33137,2700
Beaver Country Day School,Chestnut Hill,MA,02467,150
Howland High School,Warren,OH,44484,150
Riverview Senior High School,Riverview,FL,33569,150
Trumbull High School,Trumbull,CT,06611,150
Lakeview Technology Academy,Pleasant Pr,WI,53158,150
Northridge Preparatory School,Niles,IL,60714,150
W T Woodson High School,Fairfax,VA,22031,150
Oak Hall School,Gainesville,FL,32607,150
Mainland High School,Daytona Beach,FL,32114,500
Old Mill Senior High School,Millersville,MD,21108,150
Medina Valley High School,Castroville,TX,78009,500
Osceola County School for the Arts,Kissimmee,FL,34744,150
Bell Creek Academy,Riverview,FL,33569,150
Althoff Catholic High School,Belleville,IL,62226,500
Arrowhead High School,Hartland,WI,53029,150
Kettering Fairmont High School,Kettering,OH,45429,150
Braulio Alonso High School,Tampa,FL,33635,150
Garces Memorial High School,Bakersfield,CA,93305,500
Seton High School,Cincinnati,OH,45205,2700
James S Rickards High School,Tallahassee,FL,32301,150
East Bay High School,Gibsonton,FL,33534,150
Williamston High School,Williamston,MI,48895,150
L'Anse Area High School,Lanse,MI,49946,150
Northern Burlington County Regional High School,Columbus,NJ,08022,150
Saint Mary's-Colgan High School,Pittsburg,KS,66762,2700
J R Arnold High School,P C Beach,FL,32407,150
Brookfield East High School,Brookfield,WI,53005,150
Martin County High School,Stuart,FL,34994,500
Paramount High School,Paramount,CA,90723,150
Doral Academy Charter High School,Doral,FL,33172,150
Lamar Consolidated High School,Rosenberg,TX,77471,150
Bridgewater-Raynham Regional High School,Bridgewater,MA,02324,150
South Anchorage High School,Anchorage,AK,99516,150
Bishop Manogue Catholic High School,Reno,NV,89511,2700
